iter	Passed	Remaining
1290	17111	22651
1291	17128	22643
1292	17146	22636
1293	17176	22645
1294	17193	22637
1295	17211	22629
1296	17229	22622
1297	17248	22616
1298	17283	22631
1299	17316	22644
1300	17334	22637
1301	17356	22635
1302	17374	22628
1303	17392	22620
1304	17412	22616
1305	17429	22607
1306	17442	22594
1307	17456	22581
1308	17471	22569
1309	17483	22554
1310	17495	22539
1311	17507	22524
1312	17519	22509
1313	17530	22493
1314	17543	22479
1315	17555	22464
1316	17566	22448
1317	17578	22432
1318	17608	22440
1319	17619	22425
1320	17632	22411
1321	17645	22397
1322	17657	22381
1323	17669	22366
1324	17681	22352
1325	17693	22337
1326	17705	22322
1327	17718	22308
1328	17732	22296
1329	17750	22288
1330	17762	22273
1331	17782	22267
1332	17794	22252
1333	17806	22238
1334	17818	22222
1335	17845	22226
1336	17857	22211
1337	17868	22195
1338	17879	22179
1339	17890	22163
1340	17907	22154
1341	17919	22138
1342	17930	22122
1343	17941	22106
1344	17952	22090
1345	17964	22074
1346	17974	22057
1347	17985	22042
1348	17996	22025
1349	18007	22008
1350	18018	21993
1351	18029	21977
1352	18039	21959
1353	18050	21943
1354	18061	21926
1355	18071	21909
1356	18082	21893
1357	18093	21876
1358	18103	21859
1359	18114	21843
1360	18124	21826
1361	18134	21809
1362	18145	21793
1363	18155	21776
1364	18166	21759
1365	18176	21743
1366	18187	21726
1367	18197	21708
1368	18207	21692
1369	18218	21675
1370	18228	21658
1371	18238	21641
1372	18248	21624
1373	18258	21607
1374	18283	21608
1375	18293	21590
1376	18303	21573
1377	18314	21557
1378	18324	21540
1379	18335	21524
1380	18345	21507
1381	18355	21490
1382	18365	21473
1383	18375	21456
1384	18385	21438
1385	18395	21422
1386	18405	21404
1387	18416	21388
1388	18426	21371
1389	18435	21353
1390	18445	21336
1391	18456	21320
1392	18465	21302
1393	18476	21285
1394	18486	21269
1395	18496	21252
1396	18506	21235
1397	18516	21218
1398	18526	21201
1399	18537	21185
1400	18547	21168
1401	18557	21151
1402	18567	21134
1403	18577	21118
1404	18587	21101
1405	18597	21084
1406	18616	21077
1407	18626	21061
1408	18645	21053
1409	18656	21038
1410	18666	21021
1411	18692	21022
1412	18701	21004
1413	18711	20987
1414	18722	20971
1415	18733	20955
1416	18743	20939
1417	18753	20922
1418	18763	20905
1419	18773	20889
1420	18784	20872
1421	18794	20855
1422	18804	20839
1423	18814	20822
1424	18824	20806
1425	18834	20789
1426	18845	20773
1427	18855	20756
1428	18865	20740
1429	18876	20724
1430	18886	20707
1431	18896	20691
1432	18906	20674
1433	18916	20657
1434	18927	20641
1435	18937	20625
1436	18947	20609
1437	18957	20592
1438	18967	20575
1439	18977	20559
1440	18991	20546
1441	19000	20529
1442	19021	20524
1443	19031	20507
1444	19041	20490
1445	19051	20474
1446	19060	20456
1447	19084	20455
1448	19094	20438
1449	19104	20422
1450	19114	20405
1451	19124	20389
1452	19134	20372
1453	19144	20356
1454	19154	20339
1455	19165	20323
1456	19174	20306
1457	19185	20290
1458	19195	20273
1459	19204	20257
1460	19214	20240
1461	19224	20223
1462	19233	20206
1463	19243	20189
1464	19253	20173
1465	19262	20156
1466	19272	20139
1467	19282	20122
1468	19301	20116
1469	19311	20099
1470	19321	20083
1471	19331	20067
1472	19341	20050
1473	19352	20034
1474	19362	20018
1475	19372	20002
1476	19382	19986
1477	19394	19971
1478	19406	19957
1479	19416	19941
1480	19430	19928
1481	19442	19914
1482	19453	19899
1483	19464	19884
1484	19478	19872
1485	19492	19860
1486	19510	19851
1487	19536	19851
1488	19565	19854
1489	19589	19852
1490	19610	19847
1491	19636	19847
1492	19659	19843
1493	19707	19865
1494	19737	19869
1495	19770	19876
1496	19791	19870
1497	19812	19865
1498	19844	19871
1499	19863	19863
1500	19884	19858
1501	19906	19853
1502	19924	19845
1503	19947	19841
1504	19968	19835
1505	19990	19831
1506	20017	19831
1507	20053	19840
1508	20083	19843
1509	20100	19834
1510	20119	19826
1511	20137	19818
1512	20156	19809
1513	20175	19802
1514	20188	19788
1515	20202	19775
1516	20215	19762
1517	20226	19746
1518	20237	19731
1519	20249	19716
1520	20260	19701
1521	20272	19686
1522	20283	19670
1523	20294	19655
1524	20307	19641
1525	20318	19625
1526	20329	19610
1527	20340	19595
1528	20351	19579
1529	20363	19564
1530	20374	19549
1531	20385	19534
1532	20397	19519
1533	20409	19504
1534	20421	19489
1535	20432	19475
1536	20457	19472
1537	20473	19461
1538	20505	19465
1539	20526	19460
1540	20577	19482
1541	20596	19474
1542	20616	19467
1543	20638	19462
1544	20662	19458
1545	20680	19449
1546	20697	19439
1547	20721	19436
1548	20734	19422
1549	20745	19407
1550	20758	19393
1551	20769	19378
1552	20780	19362
1553	20792	19347
1554	20804	19332
1555	20815	19317
1556	20826	19301
1557	20837	19286
1558	20848	19270
1559	20859	19255
1560	20871	19240
1561	20882	19224
1562	20893	19209
1563	20905	19194
1564	20916	19179
1565	20926	19162
1566	20938	19147
1567	20948	19131
1568	20959	19115
1569	20970	19100
1570	20982	19085
1571	20993	19070
1572	21003	19054
1573	21014	19038
1574	21025	19023
1575	21036	19007
1576	21047	18991
1577	21058	18976
1578	21068	18960
1579	21079	18944
1580	21090	18929
1581	21101	18913
1582	21112	18898
1583	21123	18882
1584	21133	18867
1585	21144	18851
1586	21155	18835
1587	21165	18819
1588	21176	18804
1589	21186	18788
1590	21197	18772
1591	21207	18756
1592	21217	18740
1593	21228	18724
1594	21238	18708
1595	21249	18692
1596	21259	18677
1597	21270	18661
1598	21281	18645
1599	21291	18630
1600	21302	18614
1601	21312	18598
1602	21323	18583
1603	21333	18567
1604	21346	18553
1605	21358	18539
1606	21369	18523
1607	21380	18508
1608	21407	18506
1609	21419	18492
1610	21432	18478
1611	21443	18463
1612	21455	18448
1613	21465	18433
1614	21476	18417
1615	21486	18401
1616	21497	18386
1617	21507	18370
1618	21517	18354
1619	21527	18338
1620	21537	18322
1621	21548	18306
1622	21559	18291
1623	21569	18275
1624	21579	18259
1625	21590	18243
1626	21600	18228
1627	21611	18213
1628	21623	18198
1629	21634	18183
1630	21645	18168
1631	21657	18154
1632	21668	18139
1633	21680	18124
1634	21691	18109
1635	21702	18094
1636	21714	18079
1637	21725	18064
1638	21737	18050
